사업구분명,단위사업중분류명,m,count
방폭인증,방폭기기 안전인증(KC)시험,8,1620
방폭인증,방폭기기 안전인증(KC)시험,9,1010
방폭인증,방폭기기 안전인증(KC)시험,10,1142
방폭인증,방폭기기 안전인증(KC)시험,11,1409
방폭인증,방폭기기 안전인증(KC)시험,12,1485
방폭인증,방폭기기 일반시험,1,2
방폭인증,방폭기기 일반시험,2,5
방폭인증,방폭기기 일반시험,3,16
방폭인증,방폭기기 일반시험,4,4
방폭인증,방폭기기 일반시험,5,2
방폭인증,방폭기기 일반시험,6,7
방폭인증,방폭기기 일반시험,7,5
방폭인증,방폭기기 일반시험,8,7
방폭인증,방폭기기 일반시험,9,6
방폭인증,방폭기기 일반시험,10,14
방폭인증,방폭기기 일반시험,11,9
방폭인증,방폭기기 일반시험,12,2
승강기인증,승강기설비,1,478
승강기인증,승강기설비,2,412
승강기인증,승강기설비,3,593
승강기인증,승강기설비,4,440
승강기인증,승강기설비,5,540
승강기인증,승강기설비,6,388
승강기인증,승강기설비,7,361
승강기인증,승강기설비,8,390
승강기인증,승강기설비,9,412
승강기인증,승강기설비,10,337
승강기인증,승강기설비,11,607
승강기인증,승강기설비,12,451
승강기인증,승강기안전인증시험,1,254
승강기인증,승강기안전인증시험,2,345
승강기인증,승강기안전인증시험,3,374
승강기인증,승강기안전인증시험,4,293
승강기인증,승강기안전인증시험,5,347
승강기인증,승강기안전인증시험,6,217
승강기인증,승강기안전인증시험,7,266
승강기인증,승강기안전인증시험,8,297
승강기인증,승강기안전인증시험,9,276
승강기인증,승강기안전인증시험,10,224
승강기인증,승강기안전인증시험,11,348
승강기인증,승강기안전인증시험,12,372
전기인증,전기용품안전인증(KC)시험,1,16436
전기인증,전기용품안전인증(KC)시험,2,13906
전기인증,전기용품안전인증(KC)시험,3,16015
전기인증,전기용품안전인증(KC)시험,4,16401
전기인증,전기용품안전인증(KC)시험,5,14769
전기인증,전기용품안전인증(KC)시험,6,16248
전기인증,전기용품안전인증(KC)시험,7,17730
전기인증,전기용품안전인증(KC)시험,8,16361
전기인증,전기용품안전인증(KC)시험,9,15653
전기인증,전기용품안전인증(KC)시험,10,16076
전기인증,전기용품안전인증(KC)시험,11,17926
전기인증,전기용품안전인증(KC)시험,12,18187
표준,KOLAS교정,1,66809
표준,KOLAS교정,2,67925
표준,KOLAS교정,3,88016
표준,KOLAS교정,4,85665
표준,KOLAS교정,5,80966
표준,KOLAS교정,6,84773
표준,KOLAS교정,7,88406
표준,KOLAS교정,8,74484
표준,KOLAS교정,9,73983
표준,KOLAS교정,10,79911
표준,KOLAS교정,11,76227
표준,KOLAS교정,12,58291
표준,KOLAS시험,1,759
표준,KOLAS시험,2,817
표준,KOLAS시험,3,1170
표준,KOLAS시험,4,977
표준,KOLAS시험,5,879
표준,KOLAS시험,6,1029
표준,KOLAS시험,7,965
표준,KOLAS시험,8,838
표준,KOLAS시험,9,588
표준,KOLAS시험,10,878
표준,KOLAS시험,11,1097
표준,KOLAS시험,12,707
표준,KTL교정,1,639
표준,KTL교정,2,496
표준,KTL교정,3,641
표준,KTL교정,4,696
표준,KTL교정,5,709
표준,KTL교정,6,1612
표준,KTL교정,7,2550
표준,KTL교정,8,2814
표준,KTL교정,9,2302
표준,KTL교정,10,1520
표준,KTL교정,11,803
표준,KTL교정,12,162
표준,KTL시험,1,7271
표준,KTL시험,2,7115
표준,KTL시험,3,9384
표준,KTL시험,4,8660
표준,KTL시험,5,8215
표준,KTL시험,6,8396
표준,KTL시험,7,9300
표준,KTL시험,8,7165
표준,KTL시험,9,7757
표준,KTL시험,10,8171
표준,KTL시험,11,9020
표준,KTL시험,12,6620
표준,계정공통,3,7
표준,계정공통,4,2
표준,계정공통,5,1
표준,계정공통,6,1
표준,계정공통,8,2
표준,기술지도,1,9
표준,기술지도,2,2
표준,기술지도,3,20
표준,기술지도,4,9
표준,기술지도,5,9
표준,기술지도,6,40
표준,기술지도,7,20
표준,기술지도,8,27
표준,기술지도,9,21
표준,기술지도,10,25
표준,기술지도,11,19
표준,기술지도,12,6
표준,일반시험,1,1
표준,일반시험,2,4
표준,일반시험,3,5
표준,일반시험,4,3
표준,일반시험,5,7
표준,일반시험,6,6
표준,일반시험,7,6
표준,일반시험,8,5
표준,일반시험,10,3
표준,일반시험,11,3
표준,전기용품안전인증(KC)시험,8,1
표준,환경측정기 일반시험,5,1
표준,환경측정기 일반시험,7,37
표준,환경측정기 일반시험,9,5
표준,환경측정기 일반시험,10,21
표준,환경측정기 일반시험,11,34
표준,환경측정기 일반시험,12,2
표준,환경측정기 정도검사,2,1
표준,환경측정기 정도검사,4,4
표준,환경측정기 정도검사,5,2
표준,환경측정기 정도검사,6,2
표준,환경측정기 정도검사,7,7
표준,환경측정기 정도검사,8,2
표준,환경측정기 정도검사,11,15
형식승인,계량기 시험검사,1,237
형식승인,계량기 시험검사,2,166
형식승인,계량기 시험검사,3,39
형식승인,계량기 시험검사,4,60
형식승인,계량기 시험검사,5,136
형식승인,계량기 시험검사,6,131
형식승인,계량기 시험검사,7,103
형식승인,계량기 시험검사,8,152
형식승인,계량기 시험검사,9,105
형식승인,계량기 시험검사,10,136
형식승인,계량기 시험검사,11,112
형식승인,계량기 시험검사,12,143
형식승인,계량기 일반 시험검사,3,2
형식승인,계량기 일반 시험검사,4,1
형식승인,방폭기기 시험,2,1
